zip,county,cong_dist
02824,Providence,
02825,Providence,RI-44
02826,Providence,RI-44
02827,Kent,RI-44
02828,Providence,RI-44
02829,Providence,
02830,Providence,RI-44
02831,Providence,RI-44
02832,Washington,RI-44
02833,Washington,RI-44
02835,Newport,RI-44
02836,Washington,RI-44
02837,Newport,RI-44
02838,Providence,RI-44
02839,Providence,RI-44
02840,Newport,RI-44
02841,Newport,RI-44
02842,Newport,RI-44
02852,Washington,RI-44
02857,Providence,RI-44
02858,Providence,RI-44
02859,Providence,RI-44
02860,Providence,RI-44
02861,Providence,RI-25
02863,Providence,RI-44
02864,Providence,RI-44
02865,Providence,RI-44
02871,Newport,RI-44
02872,Newport,RI-44
02873,Washington,RI-44
02874,Washington,RI-44
02875,Washington,RI-44
02876,Providence,RI-44
02878,Newport,RI-44
02879,Washington,RI-44
02881,Washington,RI-44
02882,Washington,RI-44
02885,Bristol,RI-44
02886,Kent,RI-44
02888,Kent,RI-44
02889,Kent,RI-44
02891,Washington,RI-44
02892,Washington,RI-44
02893,Kent,RI-44
02894,Washington,RI-44
02895,Providence,RI-44
02896,Providence,RI-44
02898,Washington,RI-44
02903,Providence,RI-44
02904,Providence,RI-44
02905,Providence,RI-44
02906,Providence,RI-44
02907,Providence,RI-44
02908,Providence,RI-44
02909,Providence,RI-44
02910,Providence,RI-44
02911,Providence,RI-44
02912,Providence,RI-44
02914,Providence,RI-44
02915,Providence,RI-44
02916,Providence,RI-44
02917,Providence,RI-44
02918,Providence,
02919,Providence,RI-44
02920,Providence,RI-44
02921,Providence,RI-44
03031,Hillsborough,NH-33
03032,Rockingham,NH-33
03033,Hillsborough,NH-33
03034,Rockingham,NH-33
03036,Rockingham,NH-33
03037,Rockingham,NH-33
03038,Rockingham,NH-33
03042,Rockingham,NH-33
03043,Hillsborough,NH-33
03044,Rockingham,NH-33
03045,Hillsborough,NH-33
03046,Merrimack,NH-33
03047,Hillsborough,NH-33
03048,Hillsborough,NH-33
03049,Hillsborough,NH-33
03051,Hillsborough,NH-33
03052,Hillsborough,NH-33
03053,Rockingham,NH-33
03054,Hillsborough,NH-33
03055,Hillsborough,NH-33
03057,Hillsborough,NH-33
03060,Hillsborough,NH-33
03062,Hillsborough,NH-33
03063,Hillsborough,NH-33
03064,Hillsborough,NH-33
03070,Hillsborough,NH-33
03071,Hillsborough,NH-33
03076,Hillsborough,NH-33
03077,Rockingham,NH-33
03079,Rockingham,NH-33
03082,Hillsborough,NH-33
03084,Hillsborough,NH-33
03086,Hillsborough,NH-33
03087,Rockingham,NH-33
03101,Hillsborough,NH-33
03102,Hillsborough,NH-33
03103,Hillsborough,NH-33
03104,Hillsborough,NH-33
03106,Merrimack,NH-33
03109,Hillsborough,NH-33
03110,Hillsborough,NH-33
03215,Grafton,NH-33
03216,Merrimack,NH-33
03217,Grafton,NH-33
03218,Belknap,NH-33
03220,Belknap,NH-33
03221,Merrimack,NH-33
03222,Grafton,NH-33
03223,Grafton,NH-33
03224,Merrimack,NH-33
03225,Belknap,NH-33
03226,Belknap,NH-33
03227,Carroll,NH-33
03229,Merrimack,NH-33
03230,Merrimack,NH-33
03231,Merrimack,NH-33
03233,Merrimack,NH-33
03234,Merrimack,NH-33
03235,Merrimack,NH-33
03237,Belknap,NH-33
03238,Grafton,NH-33
03240,Grafton,NH-33
03241,Grafton,NH-33
03242,Merrimack,NH-33
03243,Merrimack,NH-33
03244,Hillsborough,NH-33
03245,Grafton,NH-33
03246,Belknap,NH-33
03249,Belknap,NH-33
03251,Grafton,NH-33
03253,Belknap,NH-33
03254,Carroll,NH-33
03255,Merrimack,NH-33
03256,Belknap,NH-33
03257,Merrimack,NH-33
03258,Merrimack,NH-33
03259,Carroll,NH-33
03260,Merrimack,NH-33
03261,Rockingham,NH-33
03262,Grafton,NH-33
03263,Merrimack,NH-33
03264,Grafton,NH-33
03266,Grafton,NH-33
03268,Merrimack,NH-33
03269,Belknap,NH-33
03273,Merrimack,NH-33
03275,Merrimack,NH-33
03276,Merrimack,NH-33
03278,Merrimack,NH-33
03279,Grafton,NH-33
03280,Sullivan,NH-33
03281,Hillsborough,NH-33
03282,Grafton,NH-33
03284,Sullivan,NH-33
03285,Grafton,NH-33
03287,Merrimack,NH-33
03290,Rockingham,NH-33
03291,Rockingham,NH-33
03293,Grafton,NH-33
03301,Merrimack,NH-33
03303,Merrimack,NH-33
03304,Merrimack,NH-33
03307,Merrimack,NH-33
03431,Cheshire,NH-33
03440,Hillsborough,NH-33
03441,Cheshire,NH-33
03442,Hillsborough,NH-33
03443,Cheshire,NH-33
03444,Cheshire,NH-33
03445,Cheshire,NH-33
03446,Cheshire,NH-33
03447,Cheshire,NH-33
03448,Cheshire,NH-33
03449,Hillsborough,NH-33
03450,Cheshire,NH-33
03451,Cheshire,NH-33
03452,Cheshire,NH-33
03455,Cheshire,NH-33
03456,Cheshire,NH-33
03457,Cheshire,NH-33
03458,Hillsborough,NH-33
03461,Cheshire,NH-33
03462,Cheshire,NH-33
03464,Cheshire,NH-33
03465,Cheshire,NH-33
03466,Cheshire,NH-33
03467,Cheshire,NH-33
03470,Cheshire,NH-33
03561,Grafton,NH-33
03570,Coos,NH-33
03574,Grafton,NH-33
03575,Coos,NH-33
03576,Coos,NH-33
03579,Oxford,NH-23
03580,Grafton,NH-33
03581,Coos,NH-33
03582,Coos,NH-33
03583,Coos,NH-33
03584,Coos,NH-33
03585,Grafton,NH-33
03586,Grafton,NH-33
03588,Coos,NH-33
03590,Coos,NH-33
03592,Coos,NH-33
03593,Coos,NH-33
03595,Coos,NH-33
03597,Coos,NH-33
03598,Coos,NH-33
03601,Sullivan,NH-33
03602,Cheshire,NH-33
03603,Sullivan,NH-33
03604,Cheshire,NH-33
03605,Sullivan,NH-33
03607,Sullivan,NH-33
03608,Cheshire,NH-33
03609,Cheshire,NH-33
03740,Grafton,NH-33
03741,Grafton,NH-33
03743,Sullivan,NH-33
03745,Sullivan,NH-33
03748,Grafton,NH-33
03750,Grafton,NH-33
03751,Sullivan,NH-33
03752,Sullivan,NH-33
03753,Sullivan,NH-33
03755,Grafton,NH-33
03765,Grafton,NH-33
03766,Grafton,NH-33
03768,Grafton,NH-33
03770,Sullivan,NH-33
03771,Grafton,NH-33
03773,Sullivan,NH-33
03774,Grafton,NH-33
03777,Grafton,NH-33
03779,Grafton,NH-33
03780,Grafton,NH-33
03781,Sullivan,NH-33
03782,Sullivan,NH-33
03784,Grafton,NH-33
03785,Grafton,NH-33
03801,Rockingham,NH-33
03809,Belknap,NH-33
03810,Belknap,NH-33
03811,Rockingham,NH-33
03812,Carroll,NH-33
03813,Carroll,NH-33
03814,Carroll,NH-33
03816,Carroll,NH-33
03817,Carroll,NH-33
03818,Carroll,NH-33
03819,Rockingham,NH-33
03820,Strafford,NH-33
03823,Strafford,NH-33
03824,Strafford,NH-33
03825,Strafford,NH-33
03826,Rockingham,NH-33
03827,Rockingham,NH-33
03830,Carroll,NH-33
03832,Carroll,NH-33
03833,Rockingham,NH-33
03835,Strafford,NH-33
03836,Carroll,NH-33
03837,Belknap,NH-33
03838,Carroll,NH-33
03839,Strafford,NH-33
03840,Rockingham,NH-33
03841,Rockingham,NH-33
03842,Rockingham,NH-33
03844,Rockingham,NH-33
03845,Carroll,NH-33
03846,Carroll,NH-33
03847,Carroll,NH-33
03848,Rockingham,NH-33
